Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Eagle_12BH611-GR,1,Battery,
C1,C_Radial_D5.0mm_H11.0mm_P2.00mm,1,10uF,
C2,C_Radial_D5.0mm_H11.0mm_P2.00mm,1,C_Polarized,
C3,C_Radial_D5.0mm_H11.0mm_P2.00mm,1,100uF,
C4,C_Radial_D5.0mm_H11.0mm_P2.00mm,1,1uF,
J1,TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,1,Speaker,
J2,TerminalBlock_MetzConnect_Type011_RT05503HBWC_1x03_P5.00mm_Horizontal,1,Input Volume,
J3,TerminalBlock_MetzConnect_Type011_RT05505HBWC_1x05_P5.00mm_Horizontal,1,Body Contacts,
J4,TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,1,LED1,
J5,TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,1,LED2,
J6,TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,1,Piezo,
J7,TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,1,9V,
J8,TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,1,ON/OFF,
Q1,TO-92_Inline,1,2N3904,
"R1, R2, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,R,
U1,DIP-8_W7.62mm,1,LM386,
