Designator,Mid X,Mid Y,Rotation,Layer
BT1,112.85,-92.9,180.0,bottom
C1,98.4,-88.8,0.0,top
C2,98.4,-96.9,0.0,top
C3,122.3,-88.8,0.0,top
C4,122.4,-96.9,0.0,top
J1,112.65,-114.85,0.0,top
J2,105.05,-70.65,180.0,top
J3,128.0,-70.65,180.0,top
J4,89.7,-114.85,0.0,top
J5,101.175,-114.85,0.0,top
J6,89.6,-70.65,180.0,top
J7,135.6,-114.85,0.0,top
J8,124.125,-114.85,0.0,top
Q1,90.34,-103.3,90.0,top
R1,93.28,-92.9,90.0,top
R2,90.82,-92.91,270.0,top
R3,117.3,-92.4,270.0,top
U1,109.23,-92.5,0.0,top
